seed,arm,inventory_sigma,max_drawdown,fills,final_pnl,t_stat,max_abs_inventory,quote_crossings
0,fixed,29.230389049754365,-12608.968375709936,537.0,-6525.1342482511,-0.8357429410107996,100.0,0.0
0,spread_matched,31.127424307192523,-11878.090453647823,341.0,-6303.786794831881,-0.791618605513229,100.0,0.0
0,skew_only,31.08354508417597,-11873.300873102966,571.0,-5783.302105342117,-0.7859416428591663,100.0,0.0
0,as,31.603146615487518,-11057.176492845214,359.0,-7304.675172713508,-0.9771048695470659,100.0,0.0
1,fixed,49.6400397965191,-3362.1542036545734,562.0,449.617435488961,0.12248762145768294,100.0,0.0
1,spread_matched,54.386915328964925,-3366.7057101683276,344.0,3021.6503658383226,0.8346751014885079,100.0,0.0
1,skew_only,48.65881830665435,-3112.3254069618115,566.0,889.2867127864777,0.2608856914381718,100.0,0.0
1,as,50.668044357365915,-2609.7106181641484,346.0,3679.7808371356623,1.1027066133449968,100.0,0.0
2,fixed,49.14968642829779,-51009.563611890175,573.0,-40975.63133315541,-1.0012751930898736,100.0,0.0
2,spread_matched,47.246410403331176,-57193.167763132704,357.0,-37767.34860972247,-0.9880760354561069,100.0,0.0
2,skew_only,49.70639230521563,-50163.32125747455,572.0,-35913.10158683728,-0.7829685255104745,100.0,0.0
2,as,38.49184431798508,-53370.09747610387,366.0,-40551.145962950795,-1.1932430610072777,90.0,0.0
3,fixed,55.477435403955006,-25032.0267443443,531.0,-5665.79105485638,-0.2882718180740784,100.0,0.0
3,spread_matched,46.078355341743695,-30493.835842086966,362.0,-16129.949960866621,-0.7248691436200054,100.0,0.0
3,skew_only,48.087796331293866,-19530.723248293543,547.0,2739.531373686602,0.16115216491435688,100.0,0.0
3,as,39.107235903346584,-18342.446388915094,373.0,-3608.1861670621915,-0.24334849184254756,100.0,0.0
4,fixed,47.23828849566843,-130598.29306977586,556.0,-102451.13706604225,-1.3623153585765682,100.0,0.0
4,spread_matched,49.20284544617313,-149711.30714368937,354.0,-89060.02123778558,-0.9945744605669504,100.0,0.0
